cell_x,cell_y,frequency
63636,53216,43
63645,53225,50
63649,53215,69
63617,53212,119
63645,53215,50
63643,53228,428
63657,53206,3
63654,53227,126
63621,53221,82
63649,53214,386
63641,53222,89
63624,53225,345
63614,53224,222
63654,53231,34
63633,53222,91
63626,53208,24
63626,53217,77
63636,53214,1047
63654,53224,38
63624,53227,159
63646,53209,97
63630,53207,43
63641,53214,34
63636,53226,104
63648,53221,541
63651,53225,143
63656,53206,16
63626,53207,260
63634,53222,271
63617,53217,47
63648,53222,127
63643,53215,232
63622,53221,473
63654,53230,17
63636,53227,215
63648,53220,16
63651,53219,108
63652,53215,17
63631,53216,337
63640,53215,24
63631,53229,372
63620,53228,99
63630,53208,266
63625,53226,163
63653,53230,64
63653,53232,1
63645,53224,9
63643,53214,216
63652,53219,364
63651,53215,30
63625,53227,153
63647,53209,31
63625,53213,336
63629,53208,286
63653,53231,14
63651,53226,79
63627,53216,142
63653,53227,86
63631,53217,820
63635,53222,368
63617,53216,30
63647,53222,573
63635,53227,325
63646,53231,54
63618,53212,77
63644,53224,78
63645,53207,101
63618,53216,89
63648,53214,197
63647,53208,75
63637,53215,293
63630,53229,426
63624,53224,40
63640,53214,46
63628,53214,45
63646,53230,192
63647,53220,38
63646,53208,24
63623,53224,331
63627,53207,146
63630,53216,418
63652,53226,220
63619,53228,197
63628,53215,385
63642,53213,154
63617,53209,13
63618,53213,19
63615,53225,284
63642,53214,250
63618,53211,78
63637,53228,37
63626,53226,494
63635,53214,305
63655,53224,88
63618,53209,84
63619,53213,116
63643,53219,373
63648,53213,190
63648,53231,18
63637,53214,381
63639,53215,37
63644,53208,45
63653,53219,251
63647,53219,82
63627,53217,18
63638,53228,125
63634,53227,147
63649,53225,18
63636,53222,402
63642,53218,610
63630,53230,54
63626,53213,282
63629,53216,218
63635,53215,286
63626,53215,15
63623,53221,294
63631,53207,264
63619,53211,157
63628,53217,3
63620,53216,181
63627,53226,168
63643,53208,110
63652,53231,21
63629,53230,235
63634,53228,131
63649,53226,54
63656,53205,18
63620,53214,18
63645,53208,5
63622,53224,191
63629,53215,304
63643,53223,468
63651,53231,102
63620,53213,200
63633,53218,391
63633,53228,306
63653,53218,266
63641,53227,103
63621,53218,3
63646,53220,56
63647,53221,365
63653,53215,6
63648,53226,46
63654,53218,262
63644,53219,388
63652,53227,14
63621,53216,296
63628,53225,231
63619,53227,30
63637,53222,182
63616,53225,38
63641,53217,415
63651,53227,59
63622,53223,253
63633,53207,163
63646,53221,517
63655,53205,45
63645,53230,117
63620,53218,87
63634,53207,10
63639,53228,55
63618,53227,170
63642,53224,480
63655,53206,46
63637,53223,359
63646,53219,48
63649,53220,218
63632,53218,223
63644,53223,471
63642,53208,49
63651,53232,28
63620,53212,11
63623,53220,207
63640,53227,88
63643,53218,173
63620,53211,49
63645,53220,602
63639,53230,4
63647,53226,48
63636,53213,13
63628,53230,181
63632,53228,194
63630,53223,35
63650,53231,86
63649,53221,300
63633,53208,255
63639,53231,45
63629,53225,198
63629,53223,53
63650,53227,75
63621,53223,266
63620,53217,40
63620,53210,124
63632,53217,181
63639,53227,38
63621,53217,146
63644,53229,221
63642,53209,222
63645,53229,278
63624,53220,501
63632,53207,372
63646,53207,28
63613,53219,23
63622,53217,431
63641,53218,129
63640,53228,8
63620,53207,24
63632,53229,95
63654,53219,44
63647,53227,18
63645,53223,179
63643,53224,76
63627,53227,315
63644,53220,221
63639,53213,167
63646,53227,45
63641,53209,250
63621,53214,69
63617,53226,191
63623,53213,32
63646,53206,52
63629,53224,49
63645,53222,442
63649,53231,41
63641,53228,7
63651,53228,26
63638,53224,237
63642,53223,14
63628,53231,33
63630,53224,253
63617,53227,57
63654,53206,58
63642,53222,64
63623,53214,37
63627,53231,188
63612,53219,11
63638,53213,517
63628,53221,44
63644,53222,12
63649,53230,60
63638,53231,14
63628,53223,49
63648,53219,52
63650,53212,13
63645,53221,55
63639,53224,249
63628,53227,132
63622,53214,57
63641,53229,41
63647,53206,76
63623,53217,111
63618,53228,8
63643,53211,69
63630,53217,494
63648,53230,113
63619,53207,7
63652,53228,4
63612,53218,32
63630,53211,20
63631,53224,187
63642,53210,100
63628,53228,225
63633,53212,253
63638,53232,11
63625,53220,241
63631,53205,5
63637,53232,20
63644,53221,34
63626,53231,161
63637,53213,263
63629,53217,259
63631,53223,90
63643,53221,69
63647,53230,39
63650,53226,31
63631,53210,223
63653,53206,60
63629,53228,271
63621,53215,52
63646,53222,457
63629,53218,423
63649,53212,71
63624,53211,185
63632,53206,40
63635,53220,353
63633,53211,50
63625,53212,131
63635,53208,22
63640,53229,32
63632,53211,353
63616,53227,61
63615,53216,21
63647,53229,88
63622,53229,30
63625,53219,687
63631,53211,116
63640,53230,88
63611,53218,28
63636,53232,27
63628,53218,538
63627,53221,12
63624,53212,282
63635,53219,240
63624,53219,155
63645,53206,15
63642,53221,30
63639,53226,39
63625,53232,175
63632,53220,95
63624,53210,27
63626,53221,11
63625,53210,256
63629,53229,33
63634,53219,439
63643,53220,5
63644,53227,20
63627,53218,239
63623,53212,45
63639,53229,33
63633,53220,104
63626,53222,49
63642,53220,13
63644,53226,55
63633,53206,83
63648,53229,13
63652,53206,16
63627,53219,315
63615,53227,160
63635,53233,16
63652,53207,50
63633,53219,76
63625,53222,33
63626,53219,488
63625,53221,50
63626,53210,197
63624,53232,77
63611,53217,11
63635,53232,33
63640,53207,50
63643,53226,45
63624,53231,123
63648,53212,40
63633,53221,52
63638,53229,22
63610,53217,26
63634,53221,95
63643,53225,51
63627,53225,62
63626,53232,4
63624,53221,36
63634,53232,39
63614,53227,21
63626,53209,49
63614,53228,85
63642,53225,65
63651,53207,57
63613,53215,25
63641,53207,40
63627,53209,248
63623,53231,77
63628,53219,52
63621,53209,4
63634,53231,18
63635,53221,73
63623,53230,83
63650,53230,1
63613,53228,37
63623,53232,26
63614,53226,90
63623,53233,39
63622,53230,181
63609,53217,7
63650,53207,59
63635,53217,40
63649,53229,4
63612,53215,25
63609,53216,63
63622,53232,66
63650,53229,6
63612,53214,48
63612,53229,59
63645,53217,14
63630,53218,42
63649,53228,78
63645,53218,28
63621,53230,21
63621,53231,72
63640,53208,158
63618,53208,19
63649,53207,15
63627,53222,11
63613,53214,80
63649,53208,46
63630,53219,46
63639,53208,123
63608,53216,33
63631,53219,81
63617,53207,87
63634,53217,29
63620,53231,32
63625,53206,101
63631,53209,31
63649,53227,9
63644,53218,15
63642,53215,15
63620,53230,39
63637,53230,11
63642,53216,70
63613,53229,8
63626,53230,3
63608,53217,37
63640,53209,12
63627,53230,1
63614,53214,35
63627,53229,21
63648,53208,63
63613,53230,16
63632,53209,51
63619,53221,27
63624,53206,34
63633,53209,30
63618,53221,133
63640,53210,26
63624,53205,78
63641,53208,31
63655,53219,36
63607,53217,70
63641,53216,71
63634,53218,10
63645,53214,80
63614,53230,17
63626,53229,25
63623,53205,44
63617,53221,103
63648,53210,29
63625,53225,172
63625,53218,4
63639,53210,46
63626,53228,28
63655,53220,20
63617,53213,67
63649,53210,36
63617,53222,43
63623,53204,11
63617,53231,13
63627,53228,47
63656,53220,31
63616,53222,130
63622,53204,46
63639,53209,20
63617,53230,8
63624,53222,26
63634,53206,35
63616,53230,11
63616,53223,27
63607,53218,26
63615,53222,92
63624,53223,51
63656,53221,5
63621,53204,16
63616,53221,19
63634,53210,25
63621,53203,20
63644,53214,36
63613,53216,2
63657,53221,19
63634,53205,10
63656,53224,34
63615,53223,63
63606,53218,62
63634,53220,20
63638,53227,8
63635,53205,51
63623,53222,49
63641,53225,9
63619,53217,24
63615,53221,20
63614,53223,75
63620,53203,13
63629,53205,58
63648,53211,12
63636,53205,60
63635,53210,14
63647,53211,68
63620,53202,24
63622,53222,4
63640,53211,13
63615,53220,2
63635,53207,39
63611,53215,39
63619,53203,33
63628,53216,107
63606,53219,67
63632,53221,29
63636,53206,14
63618,53203,34
63637,53206,141
63636,53207,71
63610,53215,28
63646,53211,110
63629,53204,5
63637,53218,120
63628,53204,33
63654,53226,41
63631,53221,42
63610,53216,18
63617,53204,37
63614,53225,92
63639,53207,104
63638,53206,92
63631,53222,7
63607,53219,48
63637,53207,19
63616,53204,40
63630,53222,40
63636,53218,26
63638,53207,107
63627,53204,16
63650,53217,17
63636,53219,112
63616,53205,7
63613,53226,52
63615,53205,72
63639,53221,14
63629,53222,26
63607,53220,15
63639,53220,18
63638,53210,16
63614,53205,53
63644,53212,11
63644,53230,61
63626,53204,15
63641,53206,3
63608,53220,62
63640,53220,24
63629,53212,5
63642,53206,27
63614,53206,16
63613,53206,48
63643,53230,37
63639,53206,8
63626,53212,101
63639,53205,28
63644,53213,17
63641,53220,16
63643,53231,19
63625,53204,4
63612,53206,21
63643,53213,45
63625,53205,28
63637,53209,70
63642,53205,10
63612,53221,23
63613,53207,6
63641,53219,12
63609,53220,18
63640,53206,12
63642,53219,28
63609,53221,50
63617,53223,21
63649,53216,21
63646,53229,48
63617,53224,137
63615,53228,5
63605,53219,5
63617,53220,7
63648,53216,40
63616,53224,134
63621,53232,5
63615,53229,18
63605,53220,7
63617,53219,49
63615,53224,19
63616,53229,3
63610,53221,76
63648,53227,13
63647,53228,23
63621,53213,12
63604,53220,4
63617,53210,29
63630,53206,18
63648,53228,75
63642,53229,56
63633,53210,15
63615,53230,2
63604,53221,10
63616,53210,21
63630,53205,23
63618,53206,8
63610,53222,36
63642,53228,8
63626,53206,6
63640,53231,14
63636,53230,4
63617,53206,108
63616,53211,14
63604,53222,2
63650,53228,6
63639,53232,12
63637,53220,28
63603,53222,9
63638,53208,69
63637,53225,17
63642,53231,36
63622,53205,5
63651,53229,4
63642,53230,2
63638,53220,40
63651,53213,35
63621,53205,3
63638,53209,19
63603,53223,4
63615,53212,35
63650,53214,68
63616,53228,39
63604,53223,8
63622,53231,10
63639,53214,17
63622,53208,16
63625,53223,45
63621,53224,87
63656,53215,7
63617,53228,44
63639,53219,30
63614,53212,15
63615,53214,24
63625,53209,16
63605,53223,2
63627,53203,1
63617,53229,29
63614,53211,26
63656,53216,20
63620,53224,31
63605,53224,6
63618,53229,58
63626,53224,74
63649,53217,3
63620,53225,52
63640,53219,35
63606,53224,8
63648,53206,7
63619,53225,76
63625,53224,23
63615,53211,7
63649,53206,3
63607,53225,8
63643,53207,6
63657,53216,8
63618,53210,47
63657,53217,21
63608,53225,7
63645,53231,16
63624,53207,5
63630,53225,24
63608,53226,2
63609,53226,9
63655,53218,51
63645,53232,10
63622,53227,12
63616,53207,79
63621,53227,46
63618,53224,1
63656,53217,27
63652,53213,27
63618,53225,20
63643,53217,25
63619,53218,71
63655,53217,5
63656,53218,6
63616,53206,47
63646,53232,16
63610,53226,4
63624,53230,6
63644,53217,38
63618,53204,3
63620,53227,9
63618,53218,27
63610,53227,4
63618,53226,46
63622,53220,17
63618,53219,13
63611,53227,9
63647,53232,11
63625,53229,26
63627,53224,15
63626,53216,7
63623,53223,38
63612,53227,2
63612,53228,6
63636,53233,21
63630,53220,4
63629,53220,31
63637,53233,16
63629,53219,3
63621,53202,17
63630,53215,13
63622,53202,1
63622,53201,15
63622,53213,6
63648,53215,11
63635,53216,2
63650,53205,12
63636,53223,1
63620,53226,17
63636,53215,4
63651,53205,25
63623,53201,16
63613,53227,1
63622,53215,24
63626,53218,19
63652,53205,12
63624,53201,1
63624,53200,13
63652,53204,13
63613,53218,3
63625,53200,14
63653,53204,24
63631,53220,6
63642,53207,6
63630,53228,19
63626,53200,4
63654,53204,27
63637,53219,13
63626,53199,9
63639,53218,16
63627,53199,10
63652,53224,17
63654,53205,2
63627,53200,8
63628,53200,16
63632,53222,9
63655,53223,10
63628,53201,1
63629,53201,17
63655,53222,14
63656,53222,10
63646,53205,22
63630,53201,4
63630,53202,13
63631,53202,9
63620,53206,15
63641,53230,3
63641,53231,26
63617,53215,11
63631,53203,8
63619,53206,8
63650,53213,13
63632,53203,16
63633,53204,12
63613,53213,20
63634,53204,17
63621,53211,4
63644,53232,17
63637,53205,6
63627,53215,4
63635,53204,5
63644,53231,8
63648,53217,7
63643,53209,1
63644,53209,5
63619,53210,9
63625,53207,10
63641,53232,9
63632,53208,2
63643,53216,1
63654,53221,2
63614,53221,4
63655,53221,6
63637,53208,9
63613,53221,12
63611,53221,26
63613,53212,5
63655,53215,4
63613,53220,3
63655,53216,1
63655,53229,10
63656,53229,11
63648,53209,10
63656,53228,13
63613,53208,22
63614,53208,30
63614,53207,31
63621,53226,14
63624,53217,18
63615,53207,56
63646,53210,13
63648,53232,5
63647,53210,2
63624,53216,12
63643,53212,6
63641,53210,1
63632,53227,9
63647,53212,22
63628,53210,9
63633,53227,8
63656,53225,34
63645,53226,3
63643,53232,12
63657,53225,17
63627,53210,16
63620,53208,9
63650,53232,25
63657,53226,57
63642,53232,7
63615,53232,25
63634,53223,2
63656,53227,44
63649,53233,24
63614,53217,10
63624,53226,7
63655,53225,1
63648,53233,18
63618,53217,10
63646,53218,9
63640,53232,11
63644,53225,20
63648,53234,11
63624,53214,18
63647,53234,26
63639,53233,4
63646,53223,41
63638,53233,10
63647,53235,5
63646,53235,17
63652,53218,4
63657,53227,1
63630,53232,13
63637,53234,3
63629,53232,2
63629,53233,12
63640,53205,17
63616,53219,21
63646,53234,4
63645,53213,2
63634,53229,3
63628,53233,17
63641,53205,24
63619,53212,7
63615,53219,10
63627,53233,4
63627,53213,10
63628,53232,18
63614,53219,2
63647,53225,10
63614,53220,5
63649,53222,3
63631,53208,7
63648,53225,7
63627,53232,5
63647,53224,33
63646,53224,21
63649,53232,9
63627,53223,19
63616,53216,11
63620,53205,13
63619,53205,11
63614,53232,2
63612,53232,6
63611,53233,10
63651,53230,7
63630,53226,4
63612,53233,2
63612,53234,5
63613,53234,8
63614,53234,1
63614,53235,5
63615,53235,8
63637,53224,5
63636,53224,4
63615,53236,2
63616,53236,11
63650,53206,2
63647,53205,7
63617,53237,1
63617,53236,6
63619,53226,7
63618,53236,7
63630,53221,4
63619,53235,7
63620,53235,5
63620,53234,3
63657,53229,14
63633,53217,5
63621,53234,7
63612,53213,3
63637,53212,10
63622,53234,1
63658,53229,2
63622,53233,6
63657,53228,7
63643,53229,1
63650,53211,30
63640,53218,5
63623,53206,12
63652,53223,3
63612,53217,3
63622,53206,19
63656,53226,2
63615,53206,4
63621,53206,7
63621,53208,4
63622,53207,3
63649,53211,14
63631,53231,8
63631,53232,12
63626,53211,3
63625,53211,2
63654,53232,2
63655,53232,8
63655,53233,9
63656,53233,20
63658,53226,5
63658,53225,17
63657,53233,13
63658,53224,4
63657,53224,13
63625,53230,9
63617,53211,12
63657,53232,9
63631,53215,1
63658,53232,19
63615,53210,3
63631,53218,3
63621,53225,5
63634,53216,4
63635,53226,1
63622,53225,5
63618,53205,1
63652,53212,3
63653,53212,9
63658,53231,2
63629,53221,3
63659,53231,22
63620,53204,2
63653,53213,17
63623,53215,9
63648,53224,1
63624,53215,5
63660,53231,5
63634,53211,9
63660,53230,31
63625,53214,9
63626,53205,4
63621,53207,4
63658,53221,1
63658,53222,15
63627,53205,10
63659,53230,3
63628,53222,2
63629,53226,5
63659,53229,11
63628,53226,6
63659,53222,4
